date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:18	122/122	---M--	200	added ('OK')	image/png	etag:%225586f1739ea23028666e558045265e5e%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/sidebox.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/sidebox.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:18	213/213	---M--	200	added ('OK')	image/png	etag:%22533017a18283ec2b7b6029bb3970840e%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/submit.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/submit.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:18	125/125	---M--	200	added ('OK')	image/png	etag:%22583c04272b002051bbc2d541f4644db8%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/error.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/error.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:18	138/138	---M--	200	added ('OK')	image/png	etag:%22e9e61b0bf061b1d2786314133a797b21%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/dot.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/dot.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:19	400/400	---M--	200	added ('OK')	image/png	etag:%22b387cdb2afac22d42d84eef35f76dec8%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/address.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/address.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:19	764/764	---M--	200	added ('OK')	image/png	etag:%2276d86aced9914aff34627e0667d4a107%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/phone.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/phone.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:19	517/517	---M--	200	added ('OK')	image/png	etag:%220cbd57b19fa4ebea709664e0d6dfec47%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/email.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/email.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:19	145/145	---M--	200	added ('OK')	image/png	etag:%227e11f3eb3e532fb8b5d9ca2aac996b73%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/arrow_left.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/arrow_left.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:19	159/159	---M--	200	added ('OK')	image/png	etag:%229f59f3ed8cf9c08ff41754edd2b0a01b%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/faq_open.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/faq_open.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:20	158/158	---M--	200	added ('OK')	image/png	etag:%22bfcc9e98cecf0143915035312c01ca64%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/faq_close.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/faq_close.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:20	155/155	---M--	200	added ('OK')	image/png	etag:%220fa9191e689864777ae812e851958be7%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/dot_line.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/dot_line.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:21	359291/359291	---M--	200	added ('OK')	image/jpeg	etag:%223be8854a9d94441892b10648f0cbd067%22	https://bb7976322e.cbaul-cdnwnd.com/23c7b765a28020e45633583999d9d314/200000061-907ee9178b/foto%202.jpg	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/23c7b765a28020e45633583999d9d314/200000061-907ee9178b/foto%202.jpg	(from https://goodxfoood.webnode.cz/news/zimni-spanek/)
10:22:21	19083/19083	---M--	200	added ('OK')	image/jpeg	etag:%22259e4d163a926be6bdfe69f281f7f705%22	https://bb7976322e.cbaul-cdnwnd.com/23c7b765a28020e45633583999d9d314/200000027-ce380cf324/logogoodfood.jpg	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/23c7b765a28020e45633583999d9d314/200000027-ce380cf324/logogoodfood.jpg	(from https://goodxfoood.webnode.cz/kontakt/)
10:22:21	4829/4829	---M--	200	added ('OK')	image/jpeg	etag:%22f4c1fc6ad9a5ac0a7ce175d4f0d44757%22	https://bb7976322e.cbaul-cdnwnd.com/23c7b765a28020e45633583999d9d314/system_preview_small_200000000-8fe7790e12-public/gdfd1.jpg	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/23c7b765a28020e45633583999d9d314/system_preview_small_200000000-8fe7790e12-public/gdfd1.jpg	(from https://goodxfoood.webnode.cz/fotogalerie/)
10:22:21	4784/4784	---M--	200	added ('OK')	image/jpeg	etag:%220103238e08aa0871fd9439b45482aa45%22	https://bb7976322e.cbaul-cdnwnd.com/23c7b765a28020e45633583999d9d314/system_preview_small_200000001-0a0da0b07b-public/gdfd2.jpg	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/23c7b765a28020e45633583999d9d314/system_preview_small_200000001-0a0da0b07b-public/gdfd2.jpg	(from https://goodxfoood.webnode.cz/fotogalerie/)
10:22:21	23876/23876	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2014:22:22%20GMT	https://goodxfoood.webnode.cz/album/fotogalerie/gdfd1-jpg/	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/album/fotogalerie/gdfd1-jpg/index.html	(from https://goodxfoood.webnode.cz/fotogalerie/)
